city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Berlin,52.5167,13.3833,Germany,DE,Berlin,primary,3644826.0,3644826.0
Hamburg,53.55,10.0,Germany,DE,Hamburg,admin,1841179.0,1841179.0
Munich,48.1372,11.5755,Germany,DE,Bavaria,admin,1471508.0,1471508.0
Cologne,50.9422,6.9578,Germany,DE,North Rhine-Westphalia,,1085664.0,1085664.0
Frankfurt,50.1136,8.6797,Germany,DE,Hesse,minor,753056.0,753056.0
Bremen,53.1153,8.7975,Germany,DE,Bremen,admin,724909.0,546501.0
Stuttgart,48.7761,9.1775,Germany,DE,Baden-Württemberg,admin,634830.0,634830.0
Düsseldorf,51.2311,6.7724,Germany,DE,North Rhine-Westphalia,admin,619294.0,619294.0
Dortmund,51.5139,7.4653,Germany,DE,North Rhine-Westphalia,minor,587010.0,587010.0
Essen,51.4508,7.0131,Germany,DE,North Rhine-Westphalia,minor,583109.0,583109.0
Dresden,51.0493,13.7384,Germany,DE,Saxony,admin,555805.0,555805.0
Leipzig,51.35,12.3833,Germany,DE,Saxony,minor,542529.0,504971.0
Hannover,52.3744,9.7386,Germany,DE,Lower Saxony,admin,538068.0,538068.0
Nuremberg,49.4528,11.0778,Germany,DE,Bavaria,minor,518365.0,518365.0
Duisburg,51.4322,6.7611,Germany,DE,North Rhine-Westphalia,minor,498590.0,498590.0
Bochum,51.4833,7.2167,Germany,DE,North Rhine-Westphalia,minor,364628.0,364628.0
Wuppertal,51.2667,7.1833,Germany,DE,North Rhine-Westphalia,minor,354382.0,354382.0
Bielefeld,52.0167,8.5333,Germany,DE,North Rhine-Westphalia,minor,333786.0,333786.0
Bonn,50.7339,7.0997,Germany,DE,North Rhine-Westphalia,minor,327258.0,327258.0
Münster,51.9625,7.6256,Germany,DE,North Rhine-Westphalia,minor,314319.0,314319.0
Karlsruhe,49.0167,8.4,Germany,DE,Baden-Württemberg,minor,313092.0,313092.0
Mannheim,49.4878,8.4661,Germany,DE,Baden-Württemberg,minor,309370.0,309370.0
Augsburg,48.3717,10.8983,Germany,DE,Bavaria,minor,295135.0,295135.0
Wiesbaden,50.0825,8.24,Germany,DE,Hesse,admin,278342.0,278342.0
Mönchengladbach,51.2,6.4333,Germany,DE,North Rhine-Westphalia,minor,261454.0,261454.0
