city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tauberbischofsheim,49.6225,9.6628,Germany,DE,Baden-Württemberg,minor,13231.0,13231.0
Neustadt,49.58,10.6089,Germany,DE,Bavaria,minor,13121.0,13121.0
Pfarrkirchen,48.4419,12.9443,Germany,DE,Bavaria,minor,12677.0,12677.0
Ebersberg,48.0833,11.9667,Germany,DE,Bavaria,minor,12239.0,12239.0
Perleberg,53.0667,11.8667,Germany,DE,Brandenburg,minor,12141.0,12141.0
Bad Fallingbostel,52.8675,9.6967,Germany,DE,Lower Saxony,minor,11852.0,11852.0
Hildburghausen,50.4261,10.7289,Germany,DE,Thuringia,minor,11836.0,11836.0
Miesbach,47.789,11.8338,Germany,DE,Bavaria,minor,11562.0,11562.0
Bad Schwalbach,50.1401,8.0694,Germany,DE,Hesse,minor,11187.0,11187.0
Regen,48.97,13.1264,Germany,DE,Bavaria,minor,11001.0,11001.0
Eisenberg,50.9667,11.9,Germany,DE,Thuringia,minor,10885.0,10885.0
Altötting,48.2264,12.6759,Germany,DE,Bavaria,minor,10119.0,10119.0
Bad Ems,50.3381,7.7106,Germany,DE,Rhineland-Palatinate,minor,9681.0,9681.0
Lüchow,52.9667,11.15,Germany,DE,Lower Saxony,minor,9420.0,9420.0
Miltenberg,49.7039,9.2644,Germany,DE,Bavaria,minor,9355.0,9355.0
Wunsiedel,50.0374,11.9994,Germany,DE,Bavaria,minor,9259.0,9259.0
Herzberg,51.6831,13.2331,Germany,DE,Brandenburg,minor,9027.0,9027.0
Plön,54.1622,10.4214,Germany,DE,Schleswig-Holstein,minor,8914.0,8914.0
Schleiz,50.5833,11.8167,Germany,DE,Thuringia,minor,8854.0,8854.0
Tirschenreuth,49.8789,12.3369,Germany,DE,Bavaria,minor,8707.0,8707.0
Beeskow,52.1667,14.25,Germany,DE,Brandenburg,minor,8042.0,8042.0
Daun,50.1986,6.8319,Germany,DE,Rhineland-Palatinate,minor,7974.0,7974.0
Simmern,49.9833,7.5167,Germany,DE,Rhineland-Palatinate,minor,7950.0,7950.0
Kirchheimbolanden,49.6664,8.0117,Germany,DE,Rhineland-Palatinate,minor,7802.0,7802.0
Freyung,48.8075,13.5475,Germany,DE,Bavaria,minor,7166.0,7166.0
Birkenfeld,49.65,7.1833,Germany,DE,Rhineland-Palatinate,minor,6984.0,6984.0
Altenkirchen,50.6872,7.6456,Germany,DE,Rhineland-Palatinate,minor,6263.0,6263.0
Neustadt,49.7306,12.1706,Germany,DE,Bavaria,minor,5727.0,5727.0
Seelow,52.5167,14.3831,Germany,DE,Brandenburg,minor,5426.0,5426.0
