city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kusel,49.5347,7.3981,Germany,DE,Rhineland-Palatinate,minor,5405.0,5405.0
Cochem,50.1469,7.1667,Germany,DE,Rhineland-Palatinate,minor,5312.0,5312.0
Offenbach,50.1006,8.7665,Germany,DE,Hesse,minor,,
Weiden,49.6768,12.1561,Germany,DE,Bavaria,minor,,
Nienburg,52.6461,9.2208,Germany,DE,Lower Saxony,minor,,
Verden,52.9234,9.2349,Germany,DE,Lower Saxony,minor,,
Köthen,51.7518,11.9709,Germany,DE,Saxony-Anhalt,minor,,
Rotenburg,53.0851,9.3879,Germany,DE,Lower Saxony,minor,,
Karlstadt,49.9603,9.7724,Germany,DE,Bavaria,minor,,
Neustadt,49.5656,8.8437,Germany,DE,Hesse,minor,,
Homberg,51.0299,9.4026,Germany,DE,Hesse,minor,,
Garmisch-Partenkirchen,47.4985,11.1044,Germany,DE,Bavaria,minor,,
